timestamp,x,y,heading,left_distance,right_distance
0,0,0,0,0,0
50,0,0,0,0,0
410,0.551275,1.92252,16,2.83776,4.51327
610,1.10255,3.84505,16,4.83776,6.51327
810,1.65382,5.76757,16,6.83776,8.51327
1010,2.2051,7.69009,16,8.83776,10.5133
1210,2.75637,9.61262,16,10.8378,12.5133
1410,3.30765,11.5351,16,12.8378,14.5133
1610,3.85892,13.4577,16,14.8378,16.5133
1810,4.4102,15.3802,16,16.8378,18.5133
2010,4.96147,17.3027,16,18.8378,20.5133
2210,5.51275,19.2252,16,20.8378,22.5133
2210,5.51275,19.2252,16,20.8378,22.5133
3710,5.51275,19.2252,16,20.8378,22.5133
4620,3.87444,20.3724,305,33.9904,28.2308
4820,2.23614,21.5195,305,35.9904,30.2308
5020,0.597835,22.6667,305,37.9904,32.2308
5220,-1.04047,23.8138,305,39.9904,34.2308
5420,-2.67877,24.961,305,41.9904,36.2308
5620,-4.31708,26.1082,305,43.9904,38.2308
5820,-5.95538,27.2553,305,45.9904,40.2308
6020,-7.59369,28.4025,305,47.9904,42.2308
6220,-8.41284,28.976,305,48.9904,43.2308
6220,-8.41284,28.976,305,48.9904,43.2308
8320,-8.41284,28.976,305,48.9904,43.2308
8570,-6.88075,27.6905,305,50.9904,45.2308
8770,-5.34866,26.4049,305,52.9904,47.2308
8970,-3.81657,25.1193,305,54.9904,49.2308
9170,-2.28448,23.8337,305,56.9904,51.2308
9370,-0.752393,22.5482,305,58.9904,53.2308
9370,-0.752393,22.5482,305,58.9904,53.2308
11340,0.585868,21.0619,138,87.2227,63.9749
11540,1.92413,19.5756,138,89.2227,65.9749
11740,3.26239,18.0893,138,91.2227,67.9749
11940,4.60065,16.603,138,93.2227,69.9749
12140,5.93891,15.1167,138,95.2227,71.9749
12340,7.27717,13.6304,138,97.2227,73.9749
12540,8.61544,12.1441,138,99.2227,75.9749
12740,9.9537,10.6578,138,101.223,77.9749
12940,11.292,9.17155,138,103.223,79.9749
13140,12.6302,7.68526,138,105.223,81.9749
13340,13.9685,6.19897,138,107.223,83.9749
13540,15.3067,4.71268,138,109.223,85.9749
13740,16.645,3.22639,138,111.223,87.9749
13940,17.9833,1.7401,138,113.223,89.9749
14140,19.3215,0.253812,138,115.223,91.9749
14140,19.3215,0.253812,138,115.223,91.9749
14340,20.6598,-1.23248,138,117.223,93.9749
14540,21.998,-2.71877,138,119.223,95.9749
14740,23.3363,-4.20506,138,121.223,97.9749
14940,24.6746,-5.69135,138,123.223,99.9749
15140,26.0128,-7.17764,138,125.223,101.975
15140,26.0128,-7.17764,138,125.223,101.975
17340,24.7273,-5.64555,138,127.223,103.975
17340,24.7273,-5.64555,138,127.223,103.975
18970,24.7273,-3.64555,0,150.9,113.201
19170,24.7273,-1.64555,0,152.9,115.201
19370,24.7273,0.354453,0,154.9,117.201
19570,24.7273,2.35445,0,156.9,119.201
19770,24.7273,4.35445,0,158.9,121.201
19970,24.7273,6.35445,0,160.9,123.201
20170,24.7273,8.35445,0,162.9,125.201
20370,24.7273,10.3545,0,164.9,127.201
20570,24.7273,12.3545,0,166.9,129.201
20770,24.7273,14.3545,0,168.9,131.201
20970,24.7273,16.3545,0,170.9,133.201
21170,24.7273,18.3545,0,172.9,135.201
21370,24.7273,20.3545,0,174.9,137.201
21570,24.7273,22.3545,0,176.9,139.201
21770,24.7273,24.3545,0,178.9,141.201
21970,24.7273,26.3545,0,180.9,143.201
22170,24.7273,28.3545,0,182.9,145.201
22370,24.7273,30.3545,0,184.9,147.201
22570,24.7273,32.3545,0,186.9,149.201
22770,24.7273,34.3545,0,188.9,151.201
22970,24.7273,36.3545,0,190.9,153.201
23170,24.7273,37.3545,0,191.9,154.201
23170,24.7273,37.3545,0,191.9,154.201
23220,24.7273,37.3545,0,191.9,154.201
